"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31347","Excel TC: PI_36 | Action | Next Step | Valid Submission","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7034","Excel TC: PI_23 | Parent Info | Occupation | Valid Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","12378","Excel TC: PI_08 | Parent Info | Preferred Campus | Mandatory Validation","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7658","Excel TC: PI_19 | Parent Info | Phone | More Digits","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","8509","Excel TC: PI_26 | Parent Info | Company | Empty Field","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","6448","Excel TC: PI_31 | Parent Info | Address | Valid Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","8130","Excel TC: PI_02 | UI | Title | Verify Title","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","8113","Excel TC: PI_01 | UI | Page | Page Load","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","6565","Excel TC: PI_38 | Action | Navigation | Back Navigation","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7128","Excel TC: PI_42 | System | Network | Network Failure","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","8365","Excel TC: PI_33 | Parent Info | Address | Long Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7867","Excel TC: PI_13 | Parent Info | Email | Valid Email","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7041","Excel TC: PI_29 | Parent Info | Sibling | Default Value","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","6740","Excel TC: PI_25 | Parent Info | Company | Valid Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","10231","Excel TC: PI_04 | UI | Buttons | Button Visibility","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7887","Excel TC: PI_14 | Parent Info | Email | Invalid Format","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","10368","Excel TC: PI_15 | Parent Info | Email | Empty Field","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","6485","Excel TC: PI_34 | Action | Save Draft | Save Partial Data","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","8258","Excel TC: PI_17 | Parent Info | Phone | Valid Phone","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","4824","Excel TC: PI_41 | Security | Input | Large Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7471","Excel TC: PI_22 | Parent Info | Alt Phone | Invalid Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7644","Excel TC: PI_28 | Parent Info | Income | Mandatory Check","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","10177","Excel TC: PI_12 | Parent Info | Full Name | Special Characters","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","5898","Excel TC: PI_40 | Security | Input | XSS Attack","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","12407","Excel TC: PI_03 | UI | Mandatory Fields | Mandatory Indicator","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","9427","Excel TC: PI_21 | Parent Info | Alt Phone | Optional Field","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","10770","Excel TC: PI_06 | Parent Info | Preferred Campus | Dropdown Load","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","6835","Excel TC: PI_20 | Parent Info | Phone | Alphabets","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","6138","Excel TC: PI_39 | Security | Input | SQL Injection","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","6430","Excel TC: PI_32 | Parent Info | Address | Empty Field","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","8061","Excel TC: PI_24 | Parent Info | Occupation | Invalid Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","10987","Excel TC: PI_09 | Parent Info | Full Name | Valid Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","11844","Excel TC: PI_05 | UI | Layout | Responsive UI","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","14073","Excel TC: PI_07 | Parent Info | Preferred Campus | Select Value","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","10225","Excel TC: PI_10 | Parent Info | Full Name | Empty Field","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7726","Excel TC: PI_18 | Parent Info | Phone | Less Digits","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","8952","Excel TC: PI_35 | Action | Save Draft | Resume Data","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","6290","Excel TC: PI_37 | Action | Next Step | Mandatory Validation","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","23235","Excel TC: PI_30 | Parent Info | Sibling | Select Yes","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","29156","Excel TC: PI_27 | Parent Info | Income | Dropdown Select","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","8650","Excel TC: PI_11 | Parent Info | Full Name | Numeric Input","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
"","7844","Excel TC: PI_16 | Parent Info | Email | Duplicate Email","chromium","2026-05-04","passed","2026-05-04","Parent Portal - Excel Driven Suite","e2e/excelUnified.spec.ts","",""
